Campaign,Day,Start Time,End Time,Bid Adjustment
Apex | Burst | Brand | AU,Monday,9:00 AM,8:00 PM,0%
Apex | Burst | Brand | AU,Tuesday,9:00 AM,8:00 PM,0%
Apex | Burst | Brand | AU,Wednesday,9:00 AM,8:00 PM,0%
Apex | Burst | Brand | AU,Thursday,9:00 AM,8:00 PM,0%
Apex | Burst | Brand | AU,Friday,9:00 AM,8:00 PM,0%
Apex | Burst | Brand | AU,Saturday,9:00 AM,5:00 PM,-10%
Apex | Burst | Brand | AU,Sunday,9:00 AM,5:00 PM,-10%
Apex | Burst | High Intent | AU,Monday,9:00 AM,8:00 PM,0%
Apex | Burst | High Intent | AU,Tuesday,9:00 AM,8:00 PM,0%
Apex | Burst | High Intent | AU,Wednesday,9:00 AM,8:00 PM,0%
Apex | Burst | High Intent | AU,Thursday,9:00 AM,8:00 PM,0%
Apex | Burst | High Intent | AU,Friday,9:00 AM,8:00 PM,0%
Apex | Burst | High Intent | AU,Saturday,9:00 AM,5:00 PM,-10%
Apex | Burst | High Intent | AU,Sunday,9:00 AM,5:00 PM,-10%
Apex | Burst | Symptoms | AU,Monday,9:00 AM,8:00 PM,0%
Apex | Burst | Symptoms | AU,Tuesday,9:00 AM,8:00 PM,0%
Apex | Burst | Symptoms | AU,Wednesday,9:00 AM,8:00 PM,0%
Apex | Burst | Symptoms | AU,Thursday,9:00 AM,8:00 PM,0%
Apex | Burst | Symptoms | AU,Friday,9:00 AM,8:00 PM,0%
Apex | Burst | Symptoms | AU,Saturday,9:00 AM,5:00 PM,-10%
Apex | Burst | Symptoms | AU,Sunday,9:00 AM,5:00 PM,-10%
