Campaign,Ad Group,Keyword,Match Type,Status
Apex | Burst | Brand | AU,Brand Core,apex metabolic health,Exact,Enabled
Apex | Burst | Brand | AU,Brand Core,apex metabolic health,Phrase,Enabled
Apex | Burst | Brand | AU,Brand Core,apex metabolic,Exact,Enabled
Apex | Burst | Brand | AU,Brand Core,apex metabolic,Phrase,Enabled
Apex | Burst | Brand | AU,Brand Core,apexmetabolichealth,Exact,Enabled
Apex | Burst | Brand | AU,Brand Core,apex metabolic health australia,Exact,Enabled
Apex | Burst | Brand | AU,Brand Core,apex metabolic health australia,Phrase,Enabled
Apex | Burst | Brand | AU,Brand Core,apex metabolic clinic,Exact,Enabled
Apex | Burst | Brand | AU,Brand Core,apex metabolic clinic,Phrase,Enabled
Apex | Burst | Brand | AU,Brand Services,apex trt,Exact,Enabled
Apex | Burst | Brand | AU,Brand Services,apex trt,Phrase,Enabled
Apex | Burst | Brand | AU,Brand Services,apex hormone clinic,Exact,Enabled
Apex | Burst | Brand | AU,Brand Services,apex hormone clinic,Phrase,Enabled
Apex | Burst | Brand | AU,Brand Services,apex blood test,Exact,Enabled
Apex | Burst | Brand | AU,Brand Services,apex blood test,Phrase,Enabled
Apex | Burst | Brand | AU,Brand Services,apex metabolic bloods,Exact,Enabled
Apex | Burst | Brand | AU,Brand Services,apex metabolic bloods,Phrase,Enabled
Apex | Burst | Brand | AU,Brand Services,apex metabolic consult,Exact,Enabled
Apex | Burst | Brand | AU,Brand Services,apex metabolic consult,Phrase,Enabled
Apex | Burst | Brand | AU,Brand Services,apex mens health,Exact,Enabled
Apex | Burst | Brand | AU,Brand Services,apex mens health,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,always tired no energy man,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,always tired no energy man,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,constant fatigue male,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,constant fatigue male,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,low energy men,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,low energy men,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,why am i so tired all the time male,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,why am i so tired all the time male,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,no energy motivation men,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,no energy motivation men,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,chronic tiredness men,Exact,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,chronic tiredness men,Phrase,Enabled
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,exhausted all the time man,Exact,Enabled
