Asset Type,Campaign,Field 1,Field 2,Field 3,Final URL
Sitelink,Apex | Burst | Brand | AU,Book A Consultation,Speak with an AHPRA doctor,"Phone or video, Australia-wide",https://www.apexmetabolichealth.com.au/book
Sitelink,Apex | Burst | Brand | AU,See What's Tested,20 markers on the men's panel,"Hormones, thyroid, metabolic, blood",https://www.apexmetabolichealth.com.au/order-bloods
Sitelink,Apex | Burst | Brand | AU,How It Works,"Bloods, doctor review, then a plan","Four steps, start to finish",https://www.apexmetabolichealth.com.au/how-it-works
Sitelink,Apex | Burst | Brand | AU,Pricing,"Published in full, no hidden fees","Panels and consults, all listed",https://www.apexmetabolichealth.com.au/pricing
Callout,Apex | Burst | Brand | AU,AHPRA-Registered Doctors,,,
Callout,Apex | Burst | Brand | AU,Australia-Wide Telehealth,,,
Callout,Apex | Burst | Brand | AU,Results In 24-48 Hours,,,
Callout,Apex | Burst | Brand | AU,Discreet Plain Packaging,,,
Callout,Apex | Burst | Brand | AU,No Lock-In Membership,,,
Callout,Apex | Burst | Brand | AU,Same-Week Appointments,,,
Structured snippet,Apex | Burst | Brand | AU,Services,Hormone assessment,,
Structured snippet,Apex | Burst | Brand | AU,Services,Blood panels,,
Structured snippet,Apex | Burst | Brand | AU,Services,Doctor consultations,,
Structured snippet,Apex | Burst | Brand | AU,Services,Ongoing monitoring,,
Structured snippet,Apex | Burst | Brand | AU,Services,Metabolic health,,
Sitelink,Apex | Burst | High Intent | AU,Book A Consultation,Speak with an AHPRA doctor,"Phone or video, Australia-wide",https://www.apexmetabolichealth.com.au/book
Sitelink,Apex | Burst | High Intent | AU,See What's Tested,20 markers on the men's panel,"Hormones, thyroid, metabolic, blood",https://www.apexmetabolichealth.com.au/order-bloods
Sitelink,Apex | Burst | High Intent | AU,How It Works,"Bloods, doctor review, then a plan","Four steps, start to finish",https://www.apexmetabolichealth.com.au/how-it-works
Sitelink,Apex | Burst | High Intent | AU,Pricing,"Published in full, no hidden fees","Panels and consults, all listed",https://www.apexmetabolichealth.com.au/pricing
Callout,Apex | Burst | High Intent | AU,AHPRA-Registered Doctors,,,
Callout,Apex | Burst | High Intent | AU,Australia-Wide Telehealth,,,
Callout,Apex | Burst | High Intent | AU,Results In 24-48 Hours,,,
Callout,Apex | Burst | High Intent | AU,Discreet Plain Packaging,,,
Callout,Apex | Burst | High Intent | AU,No Lock-In Membership,,,
Callout,Apex | Burst | High Intent | AU,Same-Week Appointments,,,
Structured snippet,Apex | Burst | High Intent | AU,Services,Hormone assessment,,
Structured snippet,Apex | Burst | High Intent | AU,Services,Blood panels,,
Structured snippet,Apex | Burst | High Intent | AU,Services,Doctor consultations,,
Structured snippet,Apex | Burst | High Intent | AU,Services,Ongoing monitoring,,
Structured snippet,Apex | Burst | High Intent | AU,Services,Metabolic health,,
Sitelink,Apex | Burst | Symptoms | AU,Book A Consultation,Speak with an AHPRA doctor,"Phone or video, Australia-wide",https://www.apexmetabolichealth.com.au/book
Sitelink,Apex | Burst | Symptoms | AU,See What's Tested,20 markers on the men's panel,"Hormones, thyroid, metabolic, blood",https://www.apexmetabolichealth.com.au/order-bloods
Sitelink,Apex | Burst | Symptoms | AU,How It Works,"Bloods, doctor review, then a plan","Four steps, start to finish",https://www.apexmetabolichealth.com.au/how-it-works
Sitelink,Apex | Burst | Symptoms | AU,Pricing,"Published in full, no hidden fees","Panels and consults, all listed",https://www.apexmetabolichealth.com.au/pricing
Callout,Apex | Burst | Symptoms | AU,AHPRA-Registered Doctors,,,
Callout,Apex | Burst | Symptoms | AU,Australia-Wide Telehealth,,,
Callout,Apex | Burst | Symptoms | AU,Results In 24-48 Hours,,,
Callout,Apex | Burst | Symptoms | AU,Discreet Plain Packaging,,,
Callout,Apex | Burst | Symptoms | AU,No Lock-In Membership,,,
Callout,Apex | Burst | Symptoms | AU,Same-Week Appointments,,,
Structured snippet,Apex | Burst | Symptoms | AU,Services,Hormone assessment,,
Structured snippet,Apex | Burst | Symptoms | AU,Services,Blood panels,,
Structured snippet,Apex | Burst | Symptoms | AU,Services,Doctor consultations,,
Structured snippet,Apex | Burst | Symptoms | AU,Services,Ongoing monitoring,,
Structured snippet,Apex | Burst | Symptoms | AU,Services,Metabolic health,,
